,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Abbott, H. Porter",0,0,3,0,0,2,1,3,1,4,0,0,0,3,0,2,3,1,1,1,2,0,1,6,4,13,2,2,2,2,2,1,0,0,4,4,1,13,0,1,2,0,0,2,1,0,0,0,4,3,0,0,0,0,3,0,0,1,0,4,0,0,1,1,0,4,1,0,0,3,0,3,5,4,5,0,2,0,3,0,0,2,0,0,0,4,0,0,5,0,0,0,1,2,1,0,0,4,0,0
"Adorno, Theodor W.",0,0,7,2,3,1,3,1,0,0,0,1,2,1,0,0,13,1,1,2,0,0,0,2,3,1,1,6,7,3,8,0,0,0,11,8,0,0,1,5,0,1,0,1,0,3,2,0,1,3,4,0,3,0,3,0,0,6,5,4,0,4,1,1,2,1,0,1,2,1,2,0,8,4,1,0,0,0,4,1,0,0,2,0,2,12,0,0,2,0,1,0,0,3,1,0,0,0,3,4
"Agamben, Giorgio",3,7,0,4,7,3,25,0,10,6,5,3,4,21,1,2,53,5,5,4,1,3,7,4,34,3,2,33,29,12,1,3,0,3,65,29,2,1,4,8,2,2,0,1,5,7,6,2,1,15,4,0,15,0,11,2,5,7,13,8,2,0,6,1,3,6,5,10,5,15,2,1,33,4,0,1,3,8,14,2,11,1,4,2,0,48,1,0,15,1,0,1,7,2,2,0,1,5,0,25
"Althusser, Louis",0,2,4,0,4,0,2,0,4,1,1,0,0,1,0,0,5,1,1,2,0,3,1,0,8,0,1,5,3,4,0,0,0,0,8,6,0,0,0,3,0,3,0,0,1,0,0,0,0,3,2,0,1,0,4,0,0,0,1,0,1,1,3,0,0,0,4,3,0,2,0,0,5,0,1,1,1,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,2,1,0,0,0,0,1,2
"Anderson, Benedict R. O'G.",0,3,7,4,0,0,3,0,1,2,1,0,0,1,0,0,6,1,6,1,0,3,0,0,4,1,0,3,7,1,1,1,0,3,8,3,0,1,1,1,2,0,0,4,0,0,1,6,0,3,3,0,0,0,1,0,1,2,1,0,0,1,1,3,0,1,0,2,1,2,1,0,8,2,0,0,0,3,0,0,2,0,2,0,0,3,0,0,11,0,0,1,2,0,1,1,0,4,0,0
"Bachelard, Gaston",2,1,3,0,0,0,2,0,0,1,5,1,1,3,0,0,4,2,3,1,0,1,2,0,4,2,0,11,4,0,2,15,1,0,15,17,8,3,2,2,3,0,0,0,0,0,8,0,2,0,4,0,4,0,2,4,0,8,0,2,1,0,0,0,3,1,0,0,4,2,1,0,3,2,0,0,3,3,1,2,1,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,3,3
"Badiou, Alain",1,3,25,2,3,2,0,0,2,4,5,1,1,5,0,4,18,2,3,6,1,3,4,5,17,2,0,22,11,3,0,3,0,1,19,16,1,1,5,3,2,1,0,0,0,4,8,1,2,5,4,0,6,0,13,0,1,2,14,2,1,0,10,0,0,4,2,3,1,9,1,1,32,2,0,0,4,5,3,2,4,1,1,0,0,40,0,0,5,0,0,0,1,0,2,0,0,5,3,5
"Bal, Mieke",3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,5,0,4,1,0,1,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,1,2,4,6,0,0,0,0,0,0,3,0,0,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0
"Balibar, Étienne",1,0,10,4,1,0,2,0,0,3,0,0,0,1,0,0,4,0,0,1,0,1,2,1,2,0,0,3,7,1,0,0,0,0,8,2,0,0,0,0,1,0,0,0,2,0,0,1,0,3,3,0,0,0,1,0,1,0,1,2,0,0,2,0,1,1,3,2,0,2,0,0,3,0,0,2,1,2,1,2,1,0,2,0,0,7,1,0,4,0,0,0,2,1,0,0,0,2,1,4
"Barthes, Roland",4,0,6,1,2,1,4,2,3,0,0,3,2,2,0,0,12,1,1,4,5,2,0,5,8,3,1,16,11,3,2,2,3,0,20,11,1,8,1,2,0,0,0,1,0,2,6,1,2,1,3,1,8,0,3,0,0,4,4,6,1,0,4,1,1,1,0,0,2,3,0,1,9,3,4,0,7,2,6,2,0,0,0,1,0,11,0,0,1,1,0,0,1,4,1,0,0,1,4,2
