,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Chatman, Seymour Benjamin",2,0,1,0,1,2,2,15,0,6,1,0,2,1,1,0,10,4,1,0,14,3,0,8,1,0,0,4,2,2,7,3,0,0,6,9,5,13,1,3,0,0,1,0,0,0,1,2,3,1,0,0,4,0,4,1,0,1,1,9,0,0,0,1,1,2,0,0,0,0,2,11,0,7,13,0,1,2,1,0,0,12,1,1,3,6,0,0,3,0,0,0,1,3,0,0,0,0,0,0
"Culler, Jonathan D.",1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,1,6,0,4,1,1,0,2,0,3,0,0,1,1,1,2,1,0,0,3,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"Deleuze, Gilles",2,4,22,3,3,7,20,0,5,15,6,0,8,4,1,1,23,7,7,4,2,9,0,7,5,4,1,0,17,7,2,3,1,4,34,18,0,3,4,4,0,5,0,3,1,4,13,1,4,12,12,0,14,1,20,8,1,6,15,12,3,4,11,3,8,3,2,6,18,2,2,1,7,8,1,0,9,4,2,8,7,0,1,1,1,36,1,0,4,1,0,0,1,1,1,0,1,0,2,3
"Derrida, Jacques",0,5,22,3,0,2,7,0,3,11,3,2,3,3,1,1,33,3,4,5,0,0,0,3,8,2,0,17,0,7,3,0,0,3,18,21,0,0,1,2,1,2,0,3,2,1,18,0,0,8,8,2,7,0,13,1,2,1,10,1,6,2,6,4,3,0,2,5,4,1,2,0,6,6,1,3,7,2,2,1,6,0,2,1,2,27,0,0,6,1,0,0,3,1,1,0,2,1,0,3
"Eagleton, Terry",0,5,5,4,1,3,3,0,1,4,2,0,1,2,0,0,7,0,6,0,2,1,0,2,1,2,3,7,7,0,4,2,4,3,10,9,5,3,4,4,5,2,1,4,0,1,4,3,0,12,8,0,5,0,7,0,0,1,2,8,1,1,4,0,0,2,1,1,2,0,2,1,2,3,2,3,4,2,1,1,4,1,1,1,4,18,0,0,12,1,0,1,0,1,0,0,2,2,1,0
"Eco, Umberto",0,0,2,0,0,4,0,2,0,7,2,1,7,1,1,0,7,2,0,0,1,2,0,4,1,7,0,2,3,4,0,1,0,0,4,5,0,5,2,1,0,1,3,1,0,0,2,0,3,3,1,0,3,0,2,2,0,1,0,3,0,1,1,0,4,0,0,0,1,0,2,1,0,2,0,1,1,1,3,0,0,5,2,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0
"Eliade, Mircea",0,1,2,0,0,22,0,0,0,2,5,0,0,2,0,0,4,0,0,2,0,0,0,1,1,3,0,3,0,2,1,0,1,0,2,9,7,1,2,5,1,0,0,0,0,0,3,0,1,0,0,0,2,1,1,2,0,2,2,3,1,2,1,0,4,0,0,1,2,0,2,0,1,4,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,2
"Eliot, Thomas Stearns",0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"Fanon, Frantz",0,1,3,3,7,2,3,0,1,2,0,0,0,1,1,0,4,0,14,0,0,0,0,2,2,0,1,4,3,3,0,0,0,0,3,2,0,0,3,3,1,2,0,1,0,0,1,1,2,5,1,0,4,0,2,1,0,2,3,3,0,0,3,0,3,1,0,2,4,0,0,1,2,1,0,3,0,0,1,0,7,0,1,0,0,9,2,1,6,4,0,1,2,0,0,1,0,0,0,3
"Foucault, Michel",2,6,35,5,9,6,15,1,4,19,11,4,14,11,2,3,31,4,5,2,1,9,0,14,13,6,6,34,18,10,4,2,2,3,0,29,5,3,19,9,6,8,1,2,2,5,11,3,3,9,8,0,16,1,30,2,2,6,10,15,3,8,9,1,6,1,0,7,8,1,4,0,21,8,1,2,9,8,12,4,12,2,4,2,2,43,0,0,19,3,0,1,4,2,2,0,0,2,1,5
"Freud, Sigmund",0,6,16,4,5,20,12,3,1,12,7,2,7,2,2,3,22,7,8,3,2,3,0,15,12,9,0,18,21,9,5,9,2,2,29,0,8,4,5,10,3,0,1,0,0,5,18,0,3,3,9,1,40,1,63,2,1,1,14,9,0,5,4,0,3,7,1,3,8,1,1,3,3,5,1,3,3,6,15,1,2,2,2,0,2,79,1,1,15,2,1,0,0,8,1,0,0,2,0,4
"Frye, Northrop",0,1,0,0,0,9,1,0,0,1,2,2,0,1,0,0,3,0,0,0,0,0,0,1,0,5,4,0,0,5,0,7,0,0,5,8,0,2,2,5,3,0,2,0,0,3,0,0,5,2,0,0,1,0,0,2,0,0,0,8,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,4,1,0,0,3,0,0,0,0,6,0,0,0,0,1,0
"Genette, Gerard",0,0,0,0,0,2,2,11,0,4,1,0,1,1,0,0,2,1,0,0,8,2,0,3,0,13,1,3,0,3,5,1,0,0,3,4,2,0,1,1,1,0,2,0,0,0,0,0,2,1,1,0,0,0,1,2,0,0,2,5,0,0,0,0,1,0,0,0,1,1,3,10,0,5,11,0,0,0,0,0,0,13,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Giddens, Anthony",0,0,1,0,2,0,4,1,0,2,5,0,5,5,1,5,4,0,2,2,0,2,1,8,3,1,1,4,1,4,2,2,1,3,19,5,2,1,0,4,2,1,1,6,0,0,2,1,3,4,1,0,6,0,3,0,1,6,1,4,0,4,0,0,0,0,2,1,0,0,0,0,3,6,0,1,1,5,2,0,1,0,5,0,2,2,0,0,6,0,0,0,0,1,0,0,1,1,1,2
"Girard, René",0,1,3,1,1,4,0,0,0,0,4,0,0,3,1,0,4,0,1,0,0,2,0,2,3,3,0,4,2,4,1,5,1,3,9,10,5,1,4,0,6,0,0,0,0,2,4,1,0,0,0,0,2,0,7,0,0,0,1,6,1,3,0,0,1,0,0,1,1,0,2,2,1,1,1,0,0,2,1,0,0,1,1,0,0,10,0,0,1,0,0,0,0,5,0,0,0,0,0,1
"Goldmann, Lucien",0,1,1,2,0,2,2,0,0,2,1,0,0,2,1,0,1,0,0,1,1,0,1,0,1,0,2,0,1,5,0,1,0,1,6,3,3,1,2,6,0,1,1,0,0,2,1,0,0,3,1,0,0,0,1,0,0,2,2,16,0,2,2,2,0,0,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1
"Gramsci, Antonio",0,0,1,2,0,0,1,0,1,0,1,0,2,1,0,3,1,0,5,0,0,3,0,0,0,0,0,5,2,2,1,0,0,2,8,0,0,0,1,0,1,0,1,2,1,0,0,0,0,1,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,5,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
