,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Kristeva, Julia",1,2,10,3,1,6,3,0,0,11,5,1,2,2,2,2,14,3,4,0,5,2,1,6,7,4,3,14,7,5,3,2,1,4,16,40,1,0,6,2,0,1,0,1,0,2,8,0,10,3,3,0,0,0,14,0,0,1,3,2,1,1,1,1,2,1,1,1,5,0,2,0,1,2,3,1,2,2,4,1,3,0,1,0,2,20,0,0,4,0,0,0,0,3,1,0,0,1,2,0
"Kropotkin, Petr Alekseevich",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lacan, Jacques",4,3,7,6,0,7,12,1,0,6,2,0,4,0,0,1,9,2,8,2,1,5,0,2,4,4,2,20,13,7,2,1,0,2,30,63,0,1,3,7,1,1,0,1,0,4,12,0,0,3,7,0,14,0,0,0,0,3,8,4,2,2,5,0,2,1,1,2,7,0,2,0,2,2,1,1,3,8,3,2,4,1,1,0,1,64,0,0,8,0,0,0,1,2,1,0,0,0,0,0
"Lakoff, George",0,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,8,1,0,2,2,0,1,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,1,0,1,0,0,7,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Latour, Bruno",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lefèbvre, Henri",0,1,4,0,3,10,1,0,0,2,2,0,7,4,0,1,10,0,0,1,0,3,0,0,1,1,0,6,1,1,1,2,1,2,6,1,0,0,6,0,2,1,0,3,0,0,8,1,2,6,0,0,1,2,3,1,0,0,1,2,0,1,4,1,3,2,0,1,2,0,0,0,4,1,1,0,1,4,2,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,4
"Levinas, Emmanuel",0,2,4,0,3,5,10,0,0,4,4,0,0,1,1,0,4,0,5,6,0,1,0,2,2,1,0,15,10,2,0,2,0,3,10,14,0,2,1,1,2,1,0,0,0,0,11,0,1,2,2,1,3,0,8,0,0,1,0,3,2,0,1,0,1,1,3,0,4,0,0,0,3,3,0,0,4,4,2,2,2,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,1,0,0,2
"Lukács, Georg",0,5,4,1,1,4,2,0,0,6,3,0,3,4,0,0,8,0,0,0,4,3,0,4,0,9,3,12,1,8,3,3,2,3,15,9,8,5,4,6,16,0,1,2,0,11,4,1,0,6,2,0,2,0,4,1,0,2,3,0,0,2,13,0,2,6,0,2,1,1,1,1,8,5,1,1,5,4,3,0,1,2,1,0,4,17,0,0,13,1,0,0,0,5,1,0,0,0,0,1
"Lyotard, Jean-Francois",0,2,2,1,1,0,0,0,0,2,1,1,4,0,0,0,3,1,1,1,0,1,0,1,1,0,0,3,6,1,0,1,1,0,3,0,1,0,0,1,0,0,1,0,1,1,5,0,0,3,5,0,1,0,2,0,1,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,0,1,1,1,1,0,1,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,1,1
"Marcuse, Herbert",0,2,2,1,0,5,1,0,0,0,4,0,5,1,0,2,5,0,0,0,0,2,0,0,1,0,0,4,2,1,1,2,0,0,8,5,0,0,4,3,2,0,0,0,0,2,1,1,0,2,2,0,1,0,2,0,0,1,0,2,1,0,3,0,2,1,1,1,3,0,1,1,2,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"Marx, Karl",0,2,11,4,4,0,3,0,2,3,1,2,1,2,0,1,19,0,2,1,0,2,0,0,0,0,0,11,6,4,1,1,1,3,9,4,0,0,0,0,2,0,0,2,1,3,3,2,0,12,5,0,1,0,5,0,0,4,1,13,0,3,0,0,0,5,1,5,2,1,0,0,8,0,0,0,1,5,2,1,3,0,1,1,0,14,0,1,7,1,0,0,2,1,0,0,0,0,0,3
"McLuhan, Herbert Marshall",0,1,0,0,0,0,0,0,0,5,0,0,4,0,0,0,6,0,1,0,0,5,1,0,1,1,0,3,4,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,12,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"Merleau-Ponty, Maurice",0,0,1,0,0,9,2,0,1,4,3,0,2,2,0,0,3,0,2,0,1,0,0,3,1,1,0,8,3,0,4,4,0,3,6,3,0,1,0,1,0,0,1,0,0,2,5,0,0,1,1,0,2,0,2,4,0,3,1,2,0,2,0,1,0,0,0,0,3,0,3,1,0,2,1,0,3,3,1,0,1,1,0,1,0,1,0,0,3,0,0,0,0,5,0,0,1,0,1,0
"Moretti, Franco",1,1,0,0,4,0,1,0,1,0,0,2,0,2,0,0,9,1,0,0,3,1,0,2,2,2,0,3,0,2,0,0,0,1,1,7,0,0,0,0,0,0,0,0,2,5,0,0,0,8,0,0,1,0,1,0,0,2,1,6,0,1,5,0,0,0,0,1,0,1,2,0,2,0,0,0,0,6,1,0,0,1,3,0,1,6,0,0,10,0,0,1,2,2,0,0,1,0,0,0
"Nancy, Jean-Luc",0,2,8,0,0,0,4,0,1,2,0,1,0,3,0,0,6,0,1,11,0,1,0,0,3,0,0,2,2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,1,9,0,1,0,1,0,1,0,3,0,2,1,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,7,0,0,6,0,0,0,2,2,1,0,0,0,1,0
"Negri, Antonio",0,2,11,1,5,0,5,0,5,1,1,0,4,1,0,0,7,1,4,2,1,5,0,0,3,0,0,6,5,1,0,1,0,2,7,3,0,0,1,1,0,3,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,1,0,2,0,1,5,1,0,1,1,0,1,0,0,0,5,0,0,0,1,1,2,0,3,0,0,1,0,5,1,0,6,3,0,0,2,2,0,0,0,1,0,3
"Nietzsche, Friedrich",1,2,3,0,3,1,2,1,1,5,4,0,0,0,0,0,10,2,1,1,0,0,0,1,1,0,0,18,4,2,1,2,1,4,8,8,1,1,0,1,0,0,0,0,0,1,6,1,3,4,6,0,5,1,7,1,0,2,4,1,0,3,2,0,3,0,2,1,0,0,0,0,1,5,0,1,0,1,2,1,2,0,0,0,0,12,1,0,6,0,0,1,1,2,0,0,0,0,0,2
"Nussbaum, Martha Craven",0,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"Ong, Walter J.",1,1,1,0,2,3,0,0,0,2,1,0,2,3,0,0,9,1,0,0,2,3,0,0,0,2,1,2,2,2,2,2,1,0,4,1,1,3,0,2,2,0,0,0,0,1,0,0,0,0,1,0,2,0,2,1,0,0,0,1,0,1,0,12,3,2,0,0,0,0,0,2,1,3,0,0,0,3,2,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0
"Prince, Gerald",0,0,0,0,1,0,1,6,0,2,0,0,0,0,0,0,2,0,0,0,9,1,0,1,0,11,2,1,0,1,1,0,0,1,0,3,1,10,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,4,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Rancière, Jacques",0,3,18,2,3,0,14,0,3,3,1,0,1,10,1,2,8,0,2,5,0,4,0,1,4,0,1,7,6,2,0,1,0,2,21,3,0,0,3,1,1,1,0,1,0,2,2,0,0,2,2,0,1,0,2,0,0,4,3,8,3,2,8,0,0,2,1,5,1,1,1,0,0,1,0,0,3,3,6,1,5,0,1,1,0,14,0,0,12,1,0,0,5,3,4,0,0,0,2,7
"Ricoeur, Paul",0,5,4,3,0,4,3,3,0,5,4,0,0,2,0,0,12,3,1,3,3,1,1,4,0,7,1,8,6,3,2,4,0,1,8,5,0,5,6,1,1,0,1,3,0,0,8,0,0,1,2,0,2,0,2,7,1,1,3,5,0,0,0,1,2,0,1,0,5,0,3,4,1,0,1,0,1,1,0,0,2,1,0,0,1,7,0,0,0,0,0,0,1,1,1,0,0,1,0,2
"Rimmon-Kenan, Shlomith",0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,2,0,0,0,9,0,0,1,0,13,0,1,1,2,0,0,0,0,1,1,0,11,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,1,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Said, Edward",0,0,1,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,6,0,0,0,0,1,1,0,0,0,3,3,1,0,0,3,2,3,1,0,1,0,0,1,0,3,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Sartre, Jean Paul",1,1,1,1,1,1,1,0,0,6,1,0,3,1,0,0,4,0,2,0,0,1,0,0,0,1,1,9,7,4,1,0,0,0,9,3,1,0,1,0,0,0,0,1,0,2,11,0,0,2,5,0,2,0,3,0,0,1,4,5,1,1,1,0,3,0,0,1,0,1,0,0,3,1,1,1,0,0,0,1,0,0,1,0,2,4,0,0,5,0,0,0,0,2,1,0,0,2,0,3
"Simmel, Georg",0,1,4,0,0,5,1,0,0,2,1,2,6,3,0,2,11,0,0,0,0,9,0,1,1,2,1,4,2,2,1,0,0,0,8,6,1,0,5,2,2,0,0,0,0,1,2,0,0,1,3,0,2,0,8,1,0,4,4,4,1,2,5,1,3,6,1,1,1,0,3,0,3,1,0,0,0,0,2,1,1,0,2,0,0,10,0,0,4,0,0,0,0,4,1,0,0,0,1,0
"Sontag, Susan",0,1,5,0,1,2,1,0,0,10,0,0,2,3,0,2,11,1,1,3,0,2,0,4,4,1,0,2,2,1,3,1,0,1,12,15,0,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,4,0,3,0,0,2,2,3,1,0,2,2,1,1,0,2,2,1,2,0,6,0,0,0,0,2,0,0,3,0,1,2,1,7,0,0,4,0,1,1,0,1,0,0,1,1,2,1
"Spinoza, Baruch De",0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,8,1,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0
"Spivak, Gayatri Chakravorty",0,3,5,1,1,0,2,0,0,2,0,0,0,3,0,1,5,0,15,1,0,2,0,1,5,0,0,7,6,4,0,0,0,7,12,2,0,0,1,0,0,5,0,3,0,1,1,2,3,1,1,0,3,1,4,0,0,1,2,1,1,0,3,0,1,0,1,3,2,0,0,0,5,2,1,3,0,1,3,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"Stanzel, Franz Karl",1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,1,0,0,8,0,0,2,0,12,0,0,0,1,5,0,0,0,2,2,1,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,1,2,5,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taylor, Charles",0,1,2,1,1,0,1,1,0,0,1,1,0,4,0,0,4,0,0,1,0,2,0,2,0,1,0,1,2,1,2,1,0,1,4,2,0,0,5,1,0,1,0,2,0,2,2,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3,1,0,0,1,0,0,1,0,0,1,1,2,1,0,0,1,0,0,0,2,0,0,5,1,0,0,0,2,2,0,1,0,0,1
"Virilio, Paul",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
"Wellek, René",0,1,0,0,1,5,0,2,0,1,1,0,0,0,0,0,4,1,0,1,0,0,0,1,0,3,3,1,2,4,0,0,3,0,2,2,4,1,2,0,3,0,1,0,0,1,0,1,0,2,0,0,2,0,1,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0
"Žižek, Slavoj",2,7,29,10,6,7,21,0,3,13,9,1,12,3,1,0,30,1,12,2,3,7,0,14,17,6,2,36,27,18,3,4,0,9,43,79,1,1,2,10,1,2,0,4,1,15,12,3,2,14,21,1,20,0,64,2,2,6,6,17,5,3,14,1,1,6,7,5,12,3,1,0,14,7,1,2,4,10,7,3,6,0,2,0,1,0,0,0,25,3,0,0,1,5,3,1,0,4,0,7
大村益夫,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0
白川豊,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0
가라타니 고진,0,4,7,3,12,2,7,0,2,5,2,2,2,1,1,1,20,3,10,4,1,1,0,3,7,3,0,4,6,12,0,0,2,6,19,15,3,1,6,1,2,1,0,0,0,7,5,6,1,7,12,0,4,1,8,1,0,1,6,13,1,2,7,1,3,10,6,6,6,1,2,0,12,0,1,1,5,4,4,2,2,0,5,3,1,25,1,1,0,4,0,0,8,6,5,0,2,2,0,2
고모리 요이치,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,3,0,10,0,0,0,0,0,1,0,1,1,1,1,0,1,0,4,3,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,1,4,0,0,0,4,0,0,0,0,0,0,1
루쉰,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
사에구사 도시카쓰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
사카이 나오키,0,0,2,0,2,0,1,0,3,1,0,0,0,0,1,0,6,0,5,2,0,0,0,0,2,1,0,1,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,4,0,0,0,0,0,0,1,0,0,1
아리스토텔레스,0,3,3,0,0,4,1,1,0,1,1,0,1,0,0,0,6,4,0,0,2,2,0,6,1,3,0,1,1,1,3,1,1,0,2,8,6,1,1,5,0,0,1,0,0,3,0,0,2,0,4,0,3,0,2,1,0,0,0,5,2,1,1,0,5,2,2,2,2,0,0,1,3,1,0,0,2,4,1,0,0,0,2,1,2,5,0,0,6,0,0,0,0,0,1,0,0,0,5,1
아즈마 히로키,1,0,5,0,0,0,1,0,0,3,0,0,2,1,0,0,4,0,0,1,1,2,0,0,1,0,0,1,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,1,1,0,0,0,0,2,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,1
와다 하루키,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
요시미 순야,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
우에노 치즈코,0,1,3,1,2,0,0,0,0,0,0,0,1,1,0,0,5,0,1,0,0,0,0,2,6,0,0,0,1,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
플라톤,0,1,2,0,1,3,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
한나 아렌트,0,1,9,0,1,0,5,0,0,1,0,0,3,2,0,0,6,0,1,1,0,2,0,0,4,0,1,3,3,0,0,2,0,3,5,4,0,0,2,1,1,0,0,1,0,0,4,2,0,0,5,0,0,0,0,0,0,4,2,1,1,0,3,0,0,0,0,3,2,1,0,1,7,2,0,0,3,0,1,0,3,0,1,0,0,7,0,0,2,1,0,0,1,1,1,0,0,0,0,0
