,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Abbott, H. Porter",0,0,2,0,0,1,0,3,1,3,0,0,0,3,0,1,2,0,0,0,2,0,1,4,2,6,3,2,0,1,1,0,0,0,3,2,0,9,0,0,1,0,0,1,1,0,0,0,2,3,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,3,1,0,1,0,1,3,2,3,3,0,2,0,1,0,0,2,0,0,0,4,0,0,2,0,0,0,0,1,2,0,0,1,0,0
"Adorno, Theodor W.",0,0,6,1,2,1,2,1,0,2,0,1,3,1,0,0,16,0,0,2,0,0,0,1,1,1,0,5,8,6,1,1,0,0,10,7,1,0,0,2,1,1,0,1,0,2,4,0,0,3,4,0,3,0,3,0,0,5,2,8,1,5,1,0,2,2,1,2,0,0,2,0,7,4,1,0,0,1,1,0,1,0,2,0,2,13,0,0,4,0,1,0,0,2,1,0,0,0,0,1
"Agamben, Giorgio",2,6,0,2,6,2,19,0,7,8,4,4,1,6,0,1,49,3,2,3,0,3,1,1,11,2,2,33,32,9,1,4,0,2,32,15,1,1,1,3,1,3,0,0,1,5,7,2,0,10,5,0,14,0,7,2,4,2,9,6,0,2,11,1,2,5,7,14,3,5,2,1,22,3,0,1,1,7,8,3,4,1,1,2,0,33,2,1,12,1,0,1,6,2,4,0,1,1,1,8
"Althusser, Louis",0,1,2,0,2,0,2,0,4,1,1,1,2,0,0,0,4,2,2,1,0,3,0,0,1,0,1,4,5,7,0,0,0,2,7,5,0,0,0,2,1,5,0,1,1,2,4,0,0,5,3,0,2,0,5,0,0,0,1,1,1,1,6,0,0,0,2,2,0,1,0,0,5,2,1,2,2,0,0,0,2,0,1,0,0,11,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"Anderson, Benedict R. O'G.",0,2,6,2,0,0,3,0,3,2,0,1,0,1,1,0,12,1,10,1,0,8,0,1,0,1,2,4,3,2,0,1,0,5,10,4,0,0,2,1,2,0,0,4,1,1,3,12,1,9,2,0,1,1,1,0,0,4,3,0,1,0,4,3,0,5,0,7,2,2,0,0,9,1,0,0,1,2,0,0,2,0,2,0,1,7,1,1,11,3,0,1,1,0,0,1,0,1,0,0
"Bachelard, Gaston",1,1,2,0,0,0,1,0,0,1,3,2,0,2,0,0,7,4,1,2,0,2,0,0,1,1,0,4,5,1,2,10,3,1,6,8,4,2,0,3,3,0,0,0,0,1,6,0,0,2,1,0,1,0,1,2,0,5,0,3,0,2,0,0,3,1,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,4,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0
"Badiou, Alain",0,2,19,2,3,1,0,0,1,4,5,0,0,3,1,3,20,1,1,5,1,2,1,4,6,1,0,21,10,1,0,3,0,2,13,15,0,2,2,2,2,2,0,1,0,3,9,0,1,4,7,0,3,0,14,0,1,1,8,3,0,1,7,0,2,3,3,3,2,2,0,0,16,3,0,0,3,2,0,2,2,1,1,0,0,32,0,0,8,0,0,0,1,1,0,0,0,1,3,1
"Bal, Mieke",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,10,0,3,1,0,1,0,0,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,4,6,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Balibar, Étienne",1,0,7,4,3,0,1,0,0,2,0,0,0,0,0,0,6,0,1,1,0,3,0,1,1,0,0,3,7,2,0,0,0,1,6,3,0,0,0,0,1,0,0,0,1,0,0,1,0,5,3,1,0,0,0,0,2,0,1,0,0,0,3,0,2,2,3,5,0,0,0,0,3,0,0,2,0,2,0,2,1,0,1,0,0,4,1,0,4,0,0,0,3,1,0,0,0,0,1,1
"Barthes, Roland",3,2,8,1,2,1,4,1,2,0,2,4,6,1,0,0,23,1,1,4,6,0,0,5,3,6,2,16,11,4,7,2,4,2,22,8,2,6,1,1,1,0,2,2,0,1,5,1,4,5,2,1,10,0,3,1,0,4,2,7,1,0,6,2,5,1,2,0,3,1,1,1,6,3,4,1,6,2,7,1,1,0,0,1,1,13,0,0,5,1,0,0,2,4,3,0,0,0,3,0
"Bataille, Georges",0,0,4,1,0,3,5,0,0,2,0,2,2,0,0,0,5,1,0,1,1,1,0,1,1,1,1,7,4,1,2,1,0,0,9,6,1,2,3,3,1,1,2,0,0,1,4,0,0,2,0,0,1,0,2,0,0,1,2,4,1,2,1,0,1,0,0,1,4,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Baudelaire, Charles Pierre",0,1,4,1,1,2,0,0,0,4,2,0,0,1,0,0,16,1,0,2,0,1,0,0,0,0,0,1,1,0,1,0,2,0,5,2,0,0,0,0,0,1,0,0,1,2,1,0,0,0,3,0,3,0,0,0,0,1,1,1,1,0,5,0,0,2,1,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Baudrillard, Jean",0,3,1,2,0,0,0,0,0,6,2,0,0,3,0,1,5,0,0,0,1,11,1,1,3,2,0,6,2,1,4,0,0,1,9,3,0,1,3,0,0,2,1,2,0,0,2,1,3,7,1,0,1,0,3,1,0,5,0,3,5,4,2,4,1,1,0,2,0,0,4,0,1,2,0,0,1,6,1,0,0,0,1,0,0,6,0,0,4,0,0,0,0,2,1,0,0,0,0,1
"Bauman, Zygmunt",3,1,6,0,1,2,3,0,0,1,0,1,3,0,0,3,11,0,0,2,1,1,0,1,2,2,0,3,1,2,1,1,0,1,7,3,0,2,3,0,1,2,0,1,2,0,3,0,0,2,0,0,3,0,0,1,1,5,1,5,1,0,3,0,1,2,1,3,0,1,1,0,10,0,0,2,0,4,5,0,2,0,2,1,0,7,0,0,0,0,0,0,0,1,1,0,0,1,0,2
"Beauvoir, Simone de",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Beck, Ulrich",1,0,1,0,0,0,3,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,1,2,0,0,3,1,0,1,0,0,3,0,0,1,0,2,1,0,1,0,1,0,2,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Benjamin, Walter",2,16,49,4,12,7,20,0,6,23,5,16,5,11,0,1,0,9,6,10,0,9,0,7,6,8,1,35,47,15,4,2,2,4,39,23,4,2,4,6,4,2,0,1,2,8,18,1,4,21,8,1,13,2,8,4,2,13,6,12,2,6,25,3,4,19,8,8,10,6,9,0,25,12,2,1,7,19,10,2,2,1,4,7,3,32,1,1,31,3,1,0,5,7,5,2,3,1,3,5
"Bergson, Henri",0,0,3,2,1,4,1,0,0,1,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,9,4,0,1,2,0,0,4,6,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,2,1,2,0,0,0,2,1,1,1,2,0,1,1,0,2,1,2,1,0,2,1,0,0,0,0,1,2,0,0,0,1,1,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"Bhabha, Homi K.",0,0,2,2,10,1,1,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,0,1,0,1,0,4,5,5,0,1,1,8,6,6,0,1,1,1,0,3,0,4,0,0,0,1,1,3,0,0,1,0,9,0,0,1,2,0,0,0,2,0,2,0,1,2,1,0,0,0,5,1,0,2,2,0,1,0,7,0,0,1,0,9,2,1,8,3,0,1,3,0,0,0,0,1,0,0
"Blanchot, Maurice",0,2,3,1,1,2,5,0,1,4,1,2,0,2,0,0,10,0,0,0,1,2,0,2,2,2,0,8,6,0,0,1,0,0,6,3,1,0,0,0,0,0,0,0,0,1,13,0,0,3,0,1,1,0,2,0,0,4,2,2,0,0,1,0,4,1,10,2,0,1,0,0,4,3,0,0,0,1,1,0,1,0,0,0,0,6,0,0,5,0,0,0,1,0,0,0,0,1,0,0
"Booth, Wayne C.",2,0,0,0,0,0,1,2,0,6,1,0,1,1,0,0,0,0,0,1,0,2,0,4,0,14,2,4,0,1,3,0,1,0,2,2,2,6,0,0,1,0,0,0,0,1,2,0,0,0,1,0,4,0,2,0,0,0,0,6,0,0,0,0,0,3,0,1,1,2,1,6,0,5,10,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,2,1,0,0,0,1,0
"Bourdieu, Pierre",0,0,3,3,8,2,2,0,3,0,1,1,11,1,0,0,9,0,6,2,2,0,0,1,1,1,2,10,2,4,1,0,0,1,15,3,0,2,0,2,1,2,0,2,1,0,0,2,1,3,4,0,1,0,6,2,1,2,1,2,0,1,2,12,0,3,0,7,0,0,8,0,7,3,0,0,1,9,0,0,3,0,2,0,0,8,2,0,4,0,0,0,0,1,1,0,1,0,0,0
"Braidotti, Rosi",1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks, Peter",4,1,1,0,1,0,4,1,1,5,1,0,1,1,0,0,7,0,1,2,4,1,0,0,2,9,0,6,1,3,5,0,0,0,8,10,2,3,3,0,1,0,0,1,0,1,3,1,1,6,1,0,5,0,0,0,0,1,0,9,1,0,1,0,2,7,1,0,1,1,0,1,0,3,2,0,0,1,2,2,0,2,2,0,2,9,0,2,1,0,0,0,0,7,2,1,0,0,0,0
"Butler, Judith",2,1,11,1,0,1,6,0,1,3,1,0,3,2,0,3,6,0,0,2,0,1,2,2,0,2,0,8,12,9,0,0,1,0,4,10,0,1,3,2,0,0,0,2,2,1,3,2,0,5,1,1,5,0,5,0,1,2,3,2,1,1,1,0,1,3,4,4,0,4,0,0,4,1,0,0,0,1,3,0,2,0,0,1,0,10,0,0,9,0,0,0,4,0,0,0,0,0,0,1
