,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Virilio, Paul",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0
"Wellek, René",0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0
"Žižek, Slavoj",2,5,39,9,2,8,28,0,6,10,6,0,7,12,3,1,28,2,6,7,0,7,6,15,32,5,1,30,17,12,1,5,0,7,42,70,0,1,4,15,2,0,0,0,1,10,7,2,1,9,10,0,19,1,53,3,0,5,15,12,3,1,9,2,2,3,10,6,10,14,0,2,18,5,2,1,1,6,10,3,7,0,2,1,1,0,0,0,23,1,0,0,2,2,1,1,0,6,4,8
大村益夫,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
白川豊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
가라타니 고진,3,2,9,2,10,0,4,0,2,0,1,0,0,4,0,1,8,3,8,1,0,0,0,5,4,3,0,5,8,4,1,1,1,1,17,14,1,2,3,1,3,0,0,0,0,3,4,3,2,3,8,0,3,0,5,1,1,2,6,9,0,2,1,1,2,4,5,1,3,4,1,0,11,0,1,0,3,3,3,1,3,0,2,2,1,23,0,1,0,0,1,0,4,2,3,0,1,2,0,2
고모리 요이치,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,1,0,3,0,0,1,0,1,1,0,1,1,0,3,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
루쉰,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
사에구사 도시카쓰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사카이 나오키,1,0,3,1,2,0,1,0,2,0,0,0,0,0,0,0,4,0,6,2,0,1,0,1,5,0,0,3,2,0,0,0,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,3,0,2,1,0,1,4,0,0,0,2,0,0,1,0,0,1,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,2
아리스토텔레스,1,4,3,0,0,4,0,2,0,1,3,0,0,1,0,0,5,3,0,1,1,2,0,8,3,5,0,1,2,1,2,2,0,0,2,8,4,2,2,6,0,0,0,0,0,3,2,0,1,2,4,0,2,0,2,1,0,1,1,3,2,1,1,0,7,2,0,1,3,3,0,0,3,4,0,0,1,5,3,2,1,0,1,1,3,2,0,0,2,1,0,0,0,0,0,0,0,0,2,1
아즈마 히로키,0,0,3,0,1,0,3,0,0,1,0,0,1,1,0,0,2,1,0,1,0,1,0,0,2,0,0,1,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
와다 하루키,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
요시미 순야,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
우에노 치즈코,3,1,7,1,5,0,4,0,2,1,2,0,1,1,0,1,6,0,0,0,0,0,0,6,14,0,0,2,1,1,0,0,0,0,4,4,0,0,4,0,0,0,0,1,1,0,1,1,0,1,1,0,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,9,0,0,4,1,0,0,1,2,2,1,0,0,2,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1
플라톤,0,4,1,0,1,5,1,0,0,1,0,0,2,0,1,0,2,0,0,0,0,1,0,1,1,0,0,5,0,0,3,0,0,0,1,3,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0
한나 아렌트,0,4,24,1,1,3,9,0,3,2,1,0,1,5,0,3,12,0,1,2,0,4,0,2,12,0,1,5,8,2,0,2,0,2,16,4,1,0,3,0,0,0,0,0,1,0,2,0,0,2,3,0,0,0,1,1,1,3,3,3,1,0,3,0,0,1,1,2,1,6,0,1,13,2,0,0,1,0,2,1,3,0,1,0,0,8,0,0,2,0,0,0,2,1,1,0,0,1,0,0
