,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Brooks, Peter",4,4,6,0,0,0,3,2,0,3,2,0,0,1,0,2,4,0,0,2,1,4,0,0,5,4,0,11,5,0,1,1,0,1,12,16,1,2,6,5,0,0,0,1,1,2,3,0,0,2,0,0,3,1,4,2,0,0,4,0,1,0,0,1,1,1,0,1,1,8,0,1,4,3,0,0,2,1,3,0,2,0,2,0,0,15,0,0,5,1,0,0,1,8,0,0,0,6,1,2
"Butler, Judith",2,5,33,6,3,3,21,1,2,5,2,0,3,6,6,0,15,1,9,5,1,7,10,5,0,3,0,14,23,2,1,1,0,3,33,34,0,1,9,5,1,0,0,1,6,4,5,1,5,3,3,0,21,0,14,3,1,3,9,4,3,0,2,2,1,1,4,4,7,25,2,0,18,4,0,1,1,3,7,2,17,0,3,1,0,32,0,0,4,1,0,0,5,3,2,0,1,14,1,12
"Chatman, Seymour Benjamin",8,0,2,0,1,2,3,9,0,3,0,1,0,1,1,0,6,3,1,0,13,2,0,4,3,0,0,4,4,4,8,1,0,1,5,9,5,13,1,3,0,0,0,1,0,0,0,0,3,0,0,0,2,0,2,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,1,4,5,6,11,0,0,2,5,0,1,5,1,0,0,5,0,0,3,0,0,0,0,5,0,0,0,0,0,0
"Culler, Jonathan D.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Deleuze, Gilles",1,5,19,3,2,14,17,1,3,14,5,1,5,9,2,1,21,9,4,6,1,6,11,11,14,4,0,0,18,4,7,1,0,2,30,22,1,3,6,3,0,2,0,4,4,6,9,0,5,3,8,0,16,1,12,8,1,8,10,10,1,1,6,5,12,1,5,6,18,9,4,1,10,7,1,0,4,5,6,15,5,0,1,2,0,30,0,0,5,1,0,0,3,1,1,0,2,2,5,5
"Derrida, Jacques",2,3,18,0,4,1,8,0,3,8,0,2,0,8,1,0,15,0,5,5,0,2,3,5,23,4,0,18,0,4,1,1,0,4,18,26,0,1,1,4,1,0,0,2,5,3,11,1,0,2,3,0,4,0,10,2,4,3,15,3,2,0,0,3,0,1,2,2,2,5,1,1,8,5,1,0,6,4,1,1,8,0,0,0,1,17,0,0,8,0,0,0,2,2,2,0,1,1,0,8
"Eagleton, Terry",1,2,7,0,0,2,5,0,0,3,2,0,0,4,0,0,7,1,3,2,3,1,1,0,2,4,0,4,4,0,1,1,3,2,11,6,3,1,3,2,1,0,0,1,0,0,1,0,0,4,2,0,3,0,4,1,0,0,3,3,1,1,2,0,1,1,1,1,3,3,1,1,3,2,1,0,1,0,1,2,0,1,1,0,0,12,0,0,4,3,0,0,0,1,0,0,0,1,0,2
"Eco, Umberto",1,7,2,0,1,4,0,2,0,2,0,0,4,1,1,0,5,2,1,0,2,2,1,1,1,8,0,7,1,1,0,1,0,0,3,7,0,3,1,2,0,2,0,0,0,2,2,0,4,0,4,0,4,0,3,0,0,3,2,0,1,0,0,1,3,1,0,0,2,1,1,1,2,5,0,1,0,0,3,1,0,3,2,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,3,0
"Eliade, Mircea",0,0,1,0,0,23,0,1,0,1,3,0,0,1,0,0,1,0,0,2,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,6,9,0,1,2,1,0,0,0,0,0,2,0,0,0,1,0,2,1,1,1,0,3,0,2,1,2,0,0,4,0,0,0,2,4,1,0,1,4,0,0,0,0,1,1,0,1,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,2
"Eliot, Thomas Stearns",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fanon, Frantz",0,1,4,1,3,0,2,0,0,0,0,0,0,0,1,0,2,0,9,0,0,0,1,1,3,1,1,2,4,2,0,0,0,0,4,2,0,1,2,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,5,2,0,0,1,0,1,0,0,0,2,1,0,1,3,1,0,1,0,1,1,0,7,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,2
"Foucault, Michel",3,6,65,5,7,14,21,2,6,14,13,2,10,25,2,6,27,4,11,4,0,8,11,12,33,5,2,30,18,11,3,1,0,4,0,35,3,1,22,12,6,4,0,5,8,6,10,4,1,5,9,0,18,2,19,1,4,16,13,8,1,3,14,1,10,5,2,4,10,15,2,2,38,9,0,2,7,8,18,3,22,1,1,2,1,42,0,0,17,2,0,0,8,2,1,1,1,4,1,16
"Freud, Sigmund",2,6,25,3,4,26,13,1,0,13,9,1,7,10,4,1,21,7,8,5,1,4,2,16,34,9,0,22,26,6,7,6,2,2,35,0,5,5,5,11,1,0,2,2,3,8,15,0,2,4,2,1,38,0,55,4,1,3,13,8,0,5,5,0,4,8,3,3,12,13,0,3,7,7,0,2,6,2,11,2,4,2,1,0,1,70,0,0,14,1,1,0,2,8,0,0,0,4,3,4
"Frye, Northrop",1,0,1,0,0,12,2,0,0,0,1,1,0,3,0,1,1,1,0,2,1,0,1,1,0,5,1,1,0,3,0,9,0,0,3,5,0,1,1,1,1,0,1,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1
"Genette, Gerard",1,0,0,0,1,1,1,8,0,6,0,0,0,1,0,0,1,1,0,0,7,2,0,2,1,13,0,3,1,1,3,0,0,1,1,5,1,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,1,0,2,2,0,1,2,1,0,0,0,0,2,0,0,0,0,2,1,6,2,6,9,0,0,0,1,0,0,10,1,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0
"Giddens, Anthony",0,1,4,0,1,2,7,1,0,1,5,0,4,3,2,8,2,0,2,2,0,2,1,6,9,1,0,6,1,3,1,1,0,2,22,5,1,0,0,3,0,0,0,4,1,0,0,1,2,0,1,0,3,0,0,0,0,5,1,4,0,1,1,1,1,1,1,0,0,3,0,0,4,5,0,0,1,3,2,0,2,0,1,0,0,4,0,0,3,0,0,0,2,2,0,1,1,4,1,3
"Girard, René",1,4,8,2,1,2,1,0,0,0,3,0,2,6,1,0,7,1,4,0,0,1,1,5,5,3,0,3,4,2,2,2,0,2,12,11,1,1,3,0,1,1,0,0,0,1,3,1,0,1,0,0,1,0,7,1,0,1,4,4,2,1,0,0,2,1,1,1,1,2,0,1,1,3,0,0,1,2,1,0,1,0,3,0,1,15,0,0,1,0,0,0,0,6,1,0,0,0,3,0
"Goldmann, Lucien",0,0,2,1,0,1,2,0,0,1,0,0,0,3,1,0,0,0,0,2,0,0,2,0,1,0,1,0,1,1,0,1,0,0,6,1,1,0,0,1,0,0,0,0,0,1,1,0,0,3,2,0,0,0,1,0,0,2,1,6,0,1,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"Gramsci, Antonio",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greimas, Algirdas Julien",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hall, Stuart",0,1,2,0,2,0,1,0,0,2,0,0,1,3,0,1,0,1,4,0,2,3,0,1,1,1,0,4,2,1,0,0,0,0,5,2,0,0,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Haraway, Donna J.",0,0,4,1,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,1,0,0,21,1,6,0,0,4,5,0,0,0,0,1,8,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,1,1,1,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Hegel, Georg Wilhelm Friedrich",0,5,3,0,1,0,3,0,0,1,2,0,1,0,0,0,9,0,1,0,0,3,0,2,4,0,0,6,3,0,2,0,1,0,6,8,0,0,0,1,1,0,1,0,0,0,0,1,0,3,1,0,2,0,5,0,0,1,1,6,1,2,2,1,0,0,0,0,6,1,0,0,3,1,0,0,1,1,0,1,2,0,0,1,1,10,1,0,3,0,0,0,0,3,0,0,0,0,1,0
"Heidegger, Martin",0,3,5,2,0,9,2,1,0,6,4,1,0,1,3,0,1,6,1,6,0,1,0,3,5,0,0,9,11,1,2,2,1,1,10,15,0,1,0,3,1,0,0,0,1,0,0,0,0,3,1,1,6,2,12,1,0,5,10,2,1,0,0,1,5,0,2,0,10,1,0,0,3,7,0,0,12,3,1,3,2,0,0,2,0,7,0,0,4,1,0,0,0,2,1,0,0,1,1,2
"Hobsbawm, Eric John",0,0,1,0,8,0,1,0,1,0,0,0,0,0,0,0,5,0,2,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0
"Hutcheon, Linda",1,0,1,0,0,2,1,2,0,4,0,0,2,0,1,0,1,0,1,0,1,2,0,0,5,3,0,5,0,0,4,0,0,1,1,2,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0
"Jameson, Fredric",0,2,7,0,2,1,2,0,1,0,0,0,1,4,0,0,7,0,2,0,0,1,1,2,3,0,1,3,2,4,0,0,1,0,5,4,1,0,0,1,3,0,0,0,0,3,3,1,0,0,1,0,1,0,3,0,0,1,2,6,1,0,1,1,0,4,0,2,3,2,0,0,4,1,0,0,1,0,2,0,1,0,2,2,2,9,0,0,3,1,0,0,0,2,0,0,0,1,0,2
"Kant, Immanuel",0,4,3,0,2,6,1,0,1,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,3,0,0,8,3,2,4,1,0,0,9,2,0,1,1,0,2,1,0,0,0,1,1,0,0,1,0,0,4,0,2,0,0,0,1,1,2,0,2,0,4,0,6,0,5,0,0,0,3,2,0,0,1,3,1,2,2,1,0,0,0,10,0,0,8,0,0,0,1,4,0,0,0,1,0,3
"Kierkegaard, Søren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristeva, Julia",0,2,9,2,0,8,6,1,0,9,6,0,2,2,5,2,13,3,2,0,1,4,2,3,21,2,2,16,4,3,4,2,0,1,18,38,1,1,3,1,0,0,0,0,0,2,6,1,9,1,4,0,0,0,11,1,0,3,5,0,1,0,0,1,2,1,1,2,6,4,1,1,3,2,1,0,2,3,5,3,3,0,0,0,0,19,0,0,3,1,0,0,0,2,0,0,0,3,1,0
"Kropotkin, Petr Alekseevich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lacan, Jacques",2,3,11,5,0,7,11,0,1,5,1,0,3,2,2,0,7,2,1,3,1,1,1,4,14,2,0,12,10,4,3,1,0,0,19,55,0,2,0,7,1,0,0,0,0,5,12,0,0,3,2,1,11,0,0,0,0,0,10,1,0,0,3,0,2,1,2,2,3,1,0,0,3,0,0,0,5,1,2,3,4,0,0,0,0,53,0,0,5,0,0,0,1,2,1,0,0,0,2,1
"Lakoff, George",0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,3,0,0,8,2,1,0,1,0,0,1,4,1,2,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,2,2,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"Latour, Bruno",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,0,1,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"Lefèbvre, Henri",1,2,8,0,1,13,2,0,0,2,1,0,5,6,0,1,5,0,1,1,0,2,0,0,3,2,0,8,3,0,3,3,1,2,16,3,0,1,5,1,2,0,0,1,0,1,5,0,2,1,0,0,3,0,0,0,0,0,0,3,0,0,3,2,2,0,0,0,1,0,0,0,10,2,0,0,1,3,1,2,0,0,0,0,1,5,0,0,2,0,0,0,0,1,0,0,1,0,0,3
"Levinas, Emmanuel",0,5,8,0,1,4,14,0,0,6,3,0,0,3,2,3,6,0,2,4,0,1,0,4,9,0,0,10,15,3,2,0,0,5,13,13,0,2,1,4,1,0,0,0,0,1,10,1,1,2,1,0,5,0,10,5,2,0,0,2,1,0,1,0,0,0,3,0,2,1,0,1,7,6,0,0,3,4,3,3,3,0,1,0,0,15,0,0,6,0,0,0,0,1,1,0,1,1,2,3
"Lukács, Georg",1,1,6,0,1,3,1,1,2,4,0,0,2,5,1,0,5,0,2,1,0,3,2,0,4,5,1,10,3,3,0,2,2,2,8,8,7,1,4,4,6,0,0,2,0,6,2,0,0,6,1,0,0,0,1,1,1,3,2,0,0,0,8,0,0,5,0,1,3,1,1,0,4,7,2,0,1,1,1,2,0,0,1,0,2,12,0,1,9,1,0,0,0,3,0,0,0,0,0,3
"Lyotard, Jean-Francois",0,1,3,0,0,1,0,1,0,2,0,0,1,1,0,0,2,0,1,2,0,1,0,1,3,0,0,1,2,1,1,1,0,0,1,0,0,0,0,2,0,0,1,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"Marcuse, Herbert",0,0,0,1,1,2,0,0,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,3,5,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"Marx, Karl",1,1,6,0,0,0,4,0,1,1,2,0,3,3,0,1,6,0,0,0,0,1,0,0,2,0,0,6,0,2,0,0,0,1,14,5,0,0,1,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,3,0,0,3,1,8,0,1,0,0,0,1,1,4,0,0,0,0,4,0,0,0,0,3,0,0,1,0,1,1,0,9,0,0,1,1,0,0,1,1,0,1,0,1,1,3
"McLuhan, Herbert Marshall",1,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,6,0,1,0,0,2,1,1,2,1,0,5,3,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,1,1,0,0,1,0,0,1,0,0,2,0,2,0,0,1,0,0,0,1,0,0,1,2,0,8,0,0,1,1,0,0,1,2,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Merleau-Ponty, Maurice",0,0,2,0,0,8,0,1,0,0,5,0,1,1,1,0,3,3,0,2,1,0,1,1,1,0,0,12,0,1,3,4,0,1,10,4,0,2,1,2,0,0,0,0,3,0,5,0,0,0,4,0,2,0,2,2,0,2,0,0,1,3,0,1,0,0,1,0,2,2,3,1,1,2,0,0,1,4,2,1,1,1,0,1,0,2,0,0,2,0,0,0,0,7,0,0,0,0,1,0
"Moretti, Franco",2,0,1,0,0,0,2,0,0,0,0,0,0,5,1,0,1,1,0,2,1,0,1,1,1,0,0,1,1,1,1,0,0,0,5,8,2,0,1,1,1,0,0,0,1,0,0,0,0,4,0,0,1,0,1,0,1,0,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,2,0,1,0,0,0,0,0,3,0,0,4,0,0,0,1,2,0,1,1,1,0,1
"Nancy, Jean-Luc",0,1,5,2,0,0,3,0,1,0,0,0,0,4,0,2,3,0,0,14,0,1,1,0,4,0,0,5,2,1,0,0,0,0,2,3,1,0,1,1,0,0,0,0,1,0,2,0,0,0,6,0,1,0,2,0,0,0,3,0,0,1,1,0,1,0,0,2,0,1,0,0,2,2,0,0,0,2,0,0,0,0,1,0,0,10,0,0,5,0,0,0,1,0,1,0,0,0,0,1
"Negri, Antonio",0,1,6,2,0,0,4,0,2,1,0,0,1,2,0,0,3,0,1,2,1,1,0,1,4,0,0,6,2,1,0,0,0,0,4,3,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,0,0,4,1,0,0,2,0,0,2,0,0,4,1,0,0,0,1,0,0,1,0,0,1,0,6,0,0,1,1,0,0,3,1,0,0,0,0,0,2
"Nietzsche, Friedrich",0,4,5,0,2,3,1,0,1,3,3,0,0,1,1,0,5,2,1,1,0,1,1,1,7,0,0,18,2,3,2,2,0,2,10,12,0,0,0,1,0,0,1,1,0,6,10,0,2,3,5,0,6,1,3,1,0,1,2,3,0,0,0,2,2,0,0,0,0,1,2,1,2,6,0,0,3,3,4,3,3,0,1,1,0,10,0,0,3,0,0,0,0,3,0,0,0,0,1,1
"Nussbaum, Martha Craven",3,1,13,1,1,2,8,0,2,2,1,0,0,10,2,1,3,2,2,1,0,2,9,8,25,0,0,9,5,3,1,4,0,1,15,13,0,2,3,2,0,0,0,1,6,1,1,0,0,2,0,0,4,0,1,0,2,0,1,1,0,0,0,0,2,1,1,2,1,0,0,0,6,2,0,0,2,1,4,4,3,1,2,0,0,14,0,0,4,3,0,0,2,3,0,0,0,9,0,6
"Ong, Walter J.",0,1,1,0,3,2,1,1,0,1,1,1,0,2,0,0,6,0,0,1,1,0,0,0,2,1,0,4,1,1,1,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,3,1,0,0,2,0,0,1,2,3,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"Prince, Gerald",0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,1,0,0,0,5,0,1,1,0,4,2,1,1,1,1,0,0,1,2,3,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rancière, Jacques",3,4,28,1,1,2,29,1,3,6,1,1,0,10,0,4,18,1,4,11,0,5,0,4,18,5,0,10,8,3,2,1,0,3,38,7,0,2,4,1,1,1,0,1,1,3,3,3,1,4,3,0,3,0,3,0,2,10,7,4,3,1,4,0,1,0,2,4,2,6,2,0,0,4,1,0,2,2,8,3,8,0,0,0,0,18,0,0,11,1,0,0,1,3,2,0,0,4,1,13
