,"Adorno, Theodor W.","Agamben, Giorgio","Arendt, Hannah",Aristoteles,"Atwood, Margaret","Austen, Jane","Bakhtin, Mikhail Mikhailovich","Barthes, Roland","Baudrillard, Jean","Beckett, Samuel","Benjamin, Walter","Bhabha, Homi K.","Bloom, Harold","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Cleanth","Brooks, Peter","Brown, H. Douglas","Butler, Judith P.","Caruth, Cathy","Chomsky, Noam","Coetzee, J. M.","Coleridge, Samuel Taylor","Collins, Randall","Conrad, Joseph","De Man, Paul","DeLillo, Don","Defoe, Daniel","Deleuze, Gilles","Derrida, Jacques","Dickens, Charles","Dörnyei, Zoltán","Eagleton, Terry","Eliot, George","Eliot, Thomas Stearns","Ellmann, Richard","Emerson, Ralph Waldo","Fanon, Frantz","Faulkner, William","Fink, Bruce","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Gardner, R. C.","Greenblatt, Stephen","Hall, Stuart","Haraway, Donna J.","Hardy, Thomas","Hawthorne, Nathaniel","Heaney, Seamus Justin","Heidegger, Martin","Hemingway, Ernest","Hutcheon, Linda","James, Henry","Jameson, Fredric","Jeffares, A. Norman","Joyce, James","Jung, Carl Gustav","Kant, Immanuel","Keats, John","Kenner, Hugh","Krashen, Stephen D.","Kristeva, Julia","Lacan, Jacques","Lakoff, George","Lawrence, David Herbert","Leavis, Frank Raymond","Lessing, Doris","Levinas, Emmanuel","Lukács, Georg","Marx, Karl","McCarthy, John J.","Melville, Herman","Milton, John","Moretti, Franco","Morrison, Toni","Nietzsche, Friedrich Wilhelm","Nussbaum, Martha Craven","Poe, Edgar Allan","Pound, Ezra","Quirk, Randolph","Rancière, Jacques","Rich, Adrienne","Richards, Jack C.","Said, Edward W.","Schmitt, Carl","Shakespeare, William","Shaw, George Bernard","Showalter, Elaine","Spivak, Gayatri Chakravorty","Steinbeck, John","Twain, Mark","Vendler, Helen","Whitman, Walt","Williams, Raymond","Williams, William Carlos","Woolf, Virginia","Wordsworth, William","Yeats, William Butler","Žižek, Slavoj"
"Brooks, Cleanth",0,2,0,2,0,0,2,1,2,0,1,2,6,0,0,0,0,10,1,0,3,0,3,5,0,4,0,0,2,5,0,7,6,0,25,9,1,0,42,1,2,6,6,8,5,0,0,1,0,0,3,5,1,0,0,6,3,1,0,3,5,2,3,5,0,3,4,0,0,0,1,0,0,1,1,0,1,0,2,2,0,0,0,3,0,0,6,1,1,1,1,2,4,0,0,0,1,5,11,0
"Brooks, Peter",2,1,0,1,0,0,5,4,1,1,5,5,10,1,2,0,0,0,4,2,0,1,0,0,3,2,1,1,1,7,2,0,7,0,7,1,0,1,5,6,4,9,0,0,1,1,1,0,1,1,0,0,3,6,4,0,1,1,4,1,3,0,2,11,1,0,2,0,0,1,3,1,0,0,3,0,1,1,0,7,0,0,0,0,6,0,7,0,3,4,0,0,1,0,3,0,1,0,4,8
"Brown, H. Douglas",1,0,3,3,0,1,0,0,0,0,0,0,0,1,0,10,0,0,4,0,7,0,1,32,0,0,0,0,0,0,0,17,1,5,0,0,0,0,2,0,0,1,1,18,0,0,0,5,0,0,0,1,0,5,0,0,0,0,2,0,0,36,1,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,6,0,3,0,0,33,1,7,3,2,1,0,4,0,0,1,0,0,0,0,0,0
"Butler, Judith P.",6,7,3,4,1,4,7,5,5,2,8,24,3,2,4,1,4,4,0,9,0,2,2,0,2,2,2,3,16,28,1,0,5,4,2,0,3,7,7,5,39,29,1,0,5,3,4,2,4,0,4,2,7,3,3,0,0,0,1,1,0,1,20,21,1,0,3,0,7,1,5,0,2,1,3,10,5,3,1,0,2,1,11,0,12,0,7,2,12,15,1,2,0,1,1,0,5,2,2,21
"Caruth, Cathy",1,3,2,1,2,0,0,4,1,0,5,5,1,1,0,0,2,0,9,0,1,0,1,0,1,4,3,0,0,10,0,0,0,1,0,0,0,5,1,12,9,39,0,0,0,1,0,1,0,1,0,0,2,1,2,0,0,0,1,1,0,0,2,24,0,0,0,1,1,0,0,0,0,2,1,10,4,1,1,0,0,0,3,0,1,0,0,0,2,5,0,0,0,0,1,0,3,5,1,15
"Chomsky, Noam",0,0,2,1,0,0,0,2,3,0,0,0,0,0,0,3,0,7,0,1,0,3,0,13,0,2,2,1,0,2,1,1,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,1,1,0,0,1,2,0,1,0,1,3,7,0,0,6,1,2,12,1,0,0,0,0,0,22,0,2,0,0,0,0,1,0,15,1,0,7,3,5,0,1,0,0,0,3,0,0,0,0,0,2,1,4
"Coetzee, J. M.",0,2,3,1,0,0,1,4,0,0,0,5,4,0,0,0,1,0,2,0,3,0,1,0,2,2,0,5,9,12,0,1,5,0,1,1,0,4,0,0,2,3,1,0,0,0,1,0,0,0,2,0,0,0,5,0,4,0,2,0,1,0,2,1,0,1,0,4,6,0,2,1,0,1,1,0,2,0,0,1,0,0,0,0,8,1,2,0,0,16,0,0,0,0,1,0,3,0,0,2
"Coleridge, Samuel Taylor",1,0,0,3,1,2,2,2,0,0,3,1,14,4,0,3,0,1,2,1,0,1,0,0,0,4,0,1,3,8,0,0,6,3,11,4,2,1,2,3,7,5,5,0,5,0,0,0,1,0,2,0,1,2,3,0,3,0,2,7,0,0,2,6,0,2,2,1,1,0,2,0,0,7,1,0,2,0,1,1,0,0,0,0,4,0,6,0,0,4,0,0,3,1,3,1,4,33,3,3
"Collins, Randall",0,0,3,0,0,3,0,1,1,0,0,0,0,3,0,5,0,32,0,0,13,0,0,0,0,0,0,0,1,2,3,14,0,0,1,0,0,0,0,0,1,2,0,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,5,0,6,0,0,16,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Conrad, Joseph",0,0,2,3,0,2,3,3,1,0,3,8,3,0,0,0,3,0,2,1,0,2,0,0,0,0,0,1,1,9,3,0,10,1,4,2,0,5,2,1,2,8,5,0,1,1,0,3,1,0,1,1,1,5,11,0,6,1,0,0,1,0,2,6,0,2,11,0,0,2,1,0,0,0,1,0,2,0,1,0,0,0,0,0,26,0,1,0,0,5,0,1,0,0,5,0,5,0,1,8
