,"Adorno, Theodor W.","Agamben, Giorgio","Arendt, Hannah",Aristoteles,"Atwood, Margaret","Austen, Jane","Bakhtin, Mikhail Mikhailovich","Barthes, Roland","Baudrillard, Jean","Beckett, Samuel","Benjamin, Walter","Bhabha, Homi K.","Bloom, Harold","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Cleanth","Brooks, Peter","Brown, H. Douglas","Butler, Judith P.","Caruth, Cathy","Chomsky, Noam","Coetzee, J. M.","Coleridge, Samuel Taylor","Collins, Randall","Conrad, Joseph","De Man, Paul","DeLillo, Don","Defoe, Daniel","Deleuze, Gilles","Derrida, Jacques","Dickens, Charles","Dörnyei, Zoltán","Eagleton, Terry","Eliot, George","Eliot, Thomas Stearns","Ellmann, Richard","Emerson, Ralph Waldo","Fanon, Frantz","Faulkner, William","Fink, Bruce","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Gardner, R. C.","Greenblatt, Stephen","Hall, Stuart","Haraway, Donna J.","Hardy, Thomas","Hawthorne, Nathaniel","Heaney, Seamus Justin","Heidegger, Martin","Hemingway, Ernest","Hutcheon, Linda","James, Henry","Jameson, Fredric","Jeffares, A. Norman","Joyce, James","Jung, Carl Gustav","Kant, Immanuel","Keats, John","Kenner, Hugh","Krashen, Stephen D.","Kristeva, Julia","Lacan, Jacques","Lakoff, George","Lawrence, David Herbert","Leavis, Frank Raymond","Lessing, Doris","Levinas, Emmanuel","Lukács, Georg","Marx, Karl","McCarthy, John J.","Melville, Herman","Milton, John","Moretti, Franco","Morrison, Toni","Nietzsche, Friedrich Wilhelm","Nussbaum, Martha Craven","Poe, Edgar Allan","Pound, Ezra","Quirk, Randolph","Rancière, Jacques","Rich, Adrienne","Richards, Jack C.","Said, Edward W.","Schmitt, Carl","Shakespeare, William","Shaw, George Bernard","Showalter, Elaine","Spivak, Gayatri Chakravorty","Steinbeck, John","Twain, Mark","Vendler, Helen","Whitman, Walt","Williams, Raymond","Williams, William Carlos","Woolf, Virginia","Wordsworth, William","Yeats, William Butler","Žižek, Slavoj"
"Hall, Stuart",1,1,2,1,0,0,2,4,7,0,3,18,2,2,1,0,1,0,3,1,0,0,0,0,1,0,0,0,5,2,0,0,6,0,1,1,0,11,0,0,10,5,0,0,2,0,1,0,2,0,3,0,4,1,5,0,1,0,3,0,0,0,1,5,1,3,2,0,1,1,5,0,1,0,1,3,0,0,1,0,0,0,0,0,10,2,2,0,1,6,0,1,0,0,8,0,0,1,0,7
"Haraway, Donna J.",0,2,1,0,4,0,1,0,1,0,2,1,0,0,5,0,1,0,4,0,0,1,0,0,0,1,0,0,3,4,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1
"Hardy, Thomas",2,0,2,0,0,3,3,2,0,0,1,1,2,0,0,1,0,5,2,1,1,0,0,0,3,0,0,1,5,0,4,0,9,5,6,0,1,0,0,2,3,3,1,1,2,0,0,0,1,1,1,0,0,1,3,1,2,0,2,0,1,1,4,2,0,15,1,0,0,0,1,0,2,2,0,2,1,0,1,1,0,0,1,0,2,0,3,0,3,2,1,0,0,2,7,0,2,1,1,2
"Hawthorne, Nathaniel",0,1,0,2,0,0,2,2,1,0,1,1,4,0,0,0,1,0,4,0,1,0,1,0,1,0,0,1,3,4,2,0,0,3,3,1,7,1,2,1,3,4,2,0,0,2,0,1,0,0,1,1,1,19,3,0,0,1,2,0,0,2,3,1,0,5,1,0,1,1,4,0,13,0,0,2,0,0,8,0,0,1,0,0,1,2,0,0,3,1,0,1,0,2,0,0,0,0,1,1
"Heaney, Seamus Justin",2,0,0,0,0,0,2,1,0,0,2,1,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,12,0,9,3,0,2,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,3,2,5,6,1,1,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,17,0,2,0,0,6,0,0,14,0,3,0,0,3,33,0
"Heidegger, Martin",7,7,3,4,0,0,1,5,2,1,7,4,5,0,0,3,0,0,4,0,0,2,2,0,1,3,2,2,8,24,3,0,5,0,8,3,3,0,4,1,11,14,0,0,3,3,1,1,1,0,0,3,1,4,5,1,2,1,5,1,1,0,4,14,0,11,7,1,12,2,3,0,1,0,0,0,5,2,1,1,0,1,0,0,4,3,4,0,1,2,1,0,0,0,9,0,2,3,3,7
"Hemingway, Ernest",0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,5,0,1,2,0,1,0,0,0,1,0,0,0,1,2,0,0,1,1,2,0,0,0,6,0,1,4,1,0,0,0,0,0,1,0,3,0,0,1,0,1,3,0,1,0,0,0,0,2,0,5,0,1,1,0,0,3,1,0,0,1,2,0,2,0,1,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0
"Hutcheon, Linda",2,0,0,5,3,1,9,10,6,0,3,9,4,1,0,1,3,0,7,2,2,0,1,1,1,1,1,1,4,5,1,0,2,2,1,0,0,4,1,0,9,4,2,0,4,4,0,0,1,0,1,0,0,2,8,0,1,0,1,1,0,0,9,0,0,2,0,0,1,3,1,0,0,0,1,3,3,0,0,0,0,1,2,0,4,0,7,1,3,1,0,0,0,0,2,0,0,0,0,2
"James, Henry",3,2,1,4,1,0,3,3,2,0,2,4,6,0,0,0,6,5,3,1,0,0,2,1,5,0,0,3,1,3,1,1,5,6,14,3,4,1,0,1,6,9,4,1,0,1,0,1,19,3,4,1,2,0,3,0,4,0,0,2,2,1,4,5,0,5,8,0,0,3,3,0,4,1,0,1,1,1,6,2,0,0,1,1,4,0,0,0,1,0,0,3,1,1,2,0,3,0,2,8
"Jameson, Fredric",10,9,5,4,2,2,15,7,11,5,24,24,10,2,0,0,4,0,3,2,1,5,3,0,11,7,3,0,22,31,3,0,26,1,9,16,3,8,1,1,16,12,6,0,5,5,3,3,3,2,5,0,8,3,0,1,26,0,5,1,3,0,8,9,0,12,7,0,4,26,22,0,3,1,18,5,5,0,0,2,1,1,0,0,27,3,6,1,1,13,1,0,0,3,20,0,3,1,2,22
"Jeffares, A. Norman",0,0,0,2,0,0,0,0,0,0,1,6,15,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,5,0,13,48,0,3,0,0,1,0,1,0,0,0,0,1,0,5,1,1,0,0,1,0,2,0,0,0,2,0,0,0,2,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,2,1,1,0,1,0,0,12,0,3,0,8,0,89,0
"Joyce, James",3,2,3,2,0,4,9,8,0,7,9,13,11,0,0,3,1,0,0,0,1,4,3,0,6,1,1,5,6,16,2,0,11,2,15,86,1,5,4,1,17,15,1,0,0,1,0,2,0,6,2,3,1,4,26,2,0,0,3,0,20,1,2,12,0,13,3,3,1,12,4,0,2,1,6,0,5,0,2,0,0,1,0,0,18,1,5,2,2,8,1,0,1,1,11,1,10,0,14,11
"Jung, Carl Gustav",0,0,1,0,0,0,0,1,0,0,0,1,6,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,5,0,0,0,1,1,13,1,1,2,2,1,0,6,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,6,1,0,1,0,0,1,1,0,5,0,0,0,0,1,0,1,0,2,0,3,1,1,2,3,1,1,0,2,1,0,0,1,0
"Kant, Immanuel",3,6,5,2,0,2,2,3,0,0,6,3,3,2,0,0,4,2,1,1,7,2,2,1,0,4,1,1,13,30,1,1,9,1,1,1,5,2,3,4,11,15,1,0,1,3,0,2,2,1,5,1,1,0,5,0,3,0,0,2,0,0,3,17,1,5,2,0,7,1,5,1,4,1,0,1,4,3,3,0,1,2,0,0,3,4,5,0,0,0,3,2,0,2,5,0,3,9,1,15
"Keats, John",0,0,1,0,0,0,1,2,1,0,3,0,11,1,2,3,1,0,1,1,0,0,7,0,0,9,0,2,0,4,3,0,2,0,8,2,0,0,1,1,4,4,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,2,0,1,0,1,8,0,1,2,0,0,0,1,0,1,4,1,0,3,0,1,3,0,1,0,0,1,0,4,1,0,1,0,0,7,0,2,0,2,14,6,3
"Kenner, Hugh",1,3,1,1,0,0,1,3,0,9,2,2,11,0,0,5,3,0,0,0,0,1,0,0,1,0,0,0,3,5,1,0,2,2,40,20,0,2,0,0,0,3,4,0,0,0,0,1,0,0,1,0,0,2,3,2,20,0,0,1,0,0,1,3,0,1,3,0,0,2,0,0,0,0,2,0,1,0,1,15,0,0,1,0,3,1,0,0,0,2,0,0,2,1,1,0,4,0,11,1
"Krashen, Stephen D.",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,36,1,0,6,0,0,14,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,9,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,12,0,4,2,2,0,0,1,0,0,0,0,0,0,0,1,1
"Kristeva, Julia",4,7,5,3,4,0,15,15,4,2,2,19,4,0,3,3,2,1,20,2,1,2,2,0,2,2,0,2,18,17,3,0,6,2,3,1,2,4,6,4,22,38,3,0,6,1,0,4,3,2,4,0,9,4,8,0,2,0,3,1,1,0,0,29,1,3,2,1,6,1,2,0,2,0,2,8,3,0,0,2,1,2,7,0,9,1,8,0,5,7,0,1,0,2,1,0,5,1,1,14
"Lacan, Jacques",3,14,5,6,1,3,8,8,8,1,13,14,16,1,0,5,11,0,21,24,2,1,6,0,6,10,3,1,23,44,1,0,17,4,11,8,4,10,11,72,31,123,1,0,6,5,0,2,1,1,14,2,0,5,9,0,12,2,17,8,3,0,29,0,2,10,6,2,11,4,5,0,8,2,4,5,15,2,7,2,0,3,6,0,10,5,17,1,10,5,1,1,1,0,6,0,6,5,3,112
"Lakoff, George",0,0,2,2,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,12,0,0,2,0,0,1,1,0,0,0,0,1,1,2,1,0,1,2,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,2,0,3,0,1,0,0,0,0,0,2,0,1,0,0,0,0,9,0,0,2,1,1,0,1,1,1,0,1,0,0,1,0,0,1,2,0
"Lawrence, David Herbert",3,5,3,2,2,2,9,4,1,1,2,3,17,0,0,3,0,1,0,0,1,1,2,0,2,0,0,3,36,12,1,0,11,6,7,2,4,6,4,3,9,18,2,0,1,3,0,15,5,1,11,5,2,5,12,2,13,10,5,1,1,1,3,10,3,0,70,6,1,13,4,0,12,1,1,3,27,1,4,1,0,1,0,1,5,1,3,0,0,1,2,3,0,7,33,1,12,1,10,10
"Leavis, Frank Raymond",2,2,1,2,0,6,8,6,0,0,1,4,11,2,0,4,2,0,3,0,0,0,2,0,11,3,0,2,11,11,14,0,17,8,27,7,2,3,0,1,8,2,5,0,3,2,0,1,1,0,7,0,0,8,7,3,3,6,2,2,3,0,2,6,0,70,0,1,1,5,2,0,1,0,1,0,6,0,0,1,0,0,1,1,16,0,5,1,2,0,0,2,0,0,33,0,10,2,6,2
"Lessing, Doris",0,2,0,1,0,0,6,1,0,0,1,1,2,0,0,0,0,0,0,1,0,4,1,0,0,1,0,1,2,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,2,1,6,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,1,0,0,0,1,0,2,0,0,1
"Levinas, Emmanuel",1,1,2,0,0,0,2,3,1,0,2,5,1,0,1,0,0,0,7,1,0,6,1,0,0,1,1,0,10,28,0,0,7,1,2,1,0,3,3,1,7,7,0,0,1,1,1,0,1,0,12,1,1,0,4,0,1,0,7,0,0,0,6,11,0,1,1,1,0,1,2,0,1,0,0,3,3,2,1,0,0,1,1,0,5,0,6,0,1,6,0,1,1,1,1,0,5,0,0,9
"Lukács, Georg",6,2,2,3,1,3,8,2,4,3,12,3,8,1,0,0,1,0,1,0,0,0,0,0,2,2,0,3,5,8,6,0,15,1,2,4,2,2,0,0,5,8,1,0,1,1,0,0,1,1,2,0,3,3,26,1,12,1,1,0,2,0,1,4,0,13,5,0,1,0,13,0,3,0,7,1,5,0,1,0,0,0,0,1,8,1,1,1,0,2,0,1,0,1,19,0,6,0,1,9
"Marx, Karl",6,6,6,3,0,3,6,3,5,1,19,4,4,3,0,1,3,3,5,0,0,2,2,0,1,5,2,1,14,13,8,0,11,6,2,2,4,2,1,3,13,7,1,1,3,5,1,1,4,1,3,0,1,3,22,0,4,0,5,1,0,0,2,5,0,4,2,0,2,13,0,0,2,1,6,0,3,2,1,1,0,2,0,0,8,2,8,5,1,7,2,1,0,2,17,0,3,4,1,15
"McCarthy, John J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,22,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melville, Herman",1,16,1,3,0,0,5,1,1,1,6,1,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,17,9,0,0,0,2,3,0,6,1,2,0,3,4,0,0,0,1,0,2,13,0,1,1,0,4,3,0,2,1,4,1,0,0,2,8,0,12,1,0,1,3,2,1,0,0,1,1,4,0,7,0,0,2,0,1,2,0,3,0,0,0,0,2,1,2,0,0,0,0,0,10
"Milton, John",0,0,0,2,0,1,3,0,0,0,0,0,3,0,0,1,0,1,1,2,2,1,7,1,0,3,0,3,0,2,0,1,1,0,5,0,2,0,1,0,2,1,5,2,5,0,0,2,0,0,0,0,0,1,1,0,1,1,1,4,0,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2,3,1,6,1,0,0,1,0,0,2,1,0,2,12,1,1
"Moretti, Franco",1,0,0,1,0,5,5,3,2,0,10,2,5,0,0,1,3,0,3,1,0,1,1,0,1,3,1,1,4,7,4,0,7,1,3,3,0,1,0,1,6,9,1,0,1,1,1,0,0,0,0,0,1,0,18,0,6,0,0,1,2,0,2,4,0,1,1,1,0,7,6,0,1,1,0,0,0,0,0,1,0,0,0,0,4,1,3,0,2,6,0,1,0,2,5,1,1,0,3,6
"Morrison, Toni",2,2,5,1,1,2,8,2,0,0,3,17,2,1,0,0,0,0,10,10,0,0,0,1,0,0,0,0,4,6,0,0,0,2,0,0,0,16,6,1,7,17,1,0,2,3,0,2,2,0,0,1,3,1,5,0,0,5,1,0,0,0,8,5,1,3,0,1,3,1,0,0,1,0,0,0,10,1,1,0,0,0,11,0,6,0,0,0,1,9,1,2,0,2,1,0,2,2,2,3
"Nietzsche, Friedrich Wilhelm",2,3,1,7,0,0,8,4,4,1,7,4,9,0,0,1,1,0,5,4,0,2,2,0,2,8,1,1,12,24,0,0,2,1,6,7,4,2,6,2,17,14,4,0,1,0,0,1,0,1,5,2,3,1,5,1,5,0,4,3,1,0,3,15,0,27,6,1,3,5,3,0,4,0,0,10,0,1,1,0,0,2,1,0,5,0,2,0,1,5,2,0,1,0,3,2,4,2,10,8
"Nussbaum, Martha Craven",1,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,1,3,1,6,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,2,0,1,0,0,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"Poe, Edgar Allan",3,4,0,1,0,0,1,1,1,1,5,0,2,1,0,2,0,6,1,1,1,0,1,5,1,0,0,0,6,7,3,2,0,3,6,1,1,0,2,1,4,5,2,0,0,1,1,1,8,0,1,2,0,6,0,0,2,0,3,1,1,2,0,7,0,4,0,0,1,1,1,0,7,0,0,1,1,0,0,0,3,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,3,0,0,3
"Pound, Ezra",0,0,1,1,0,0,1,3,0,0,4,1,5,0,0,2,7,0,0,0,0,1,1,0,0,0,0,0,2,4,0,0,2,2,35,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,3,15,0,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,3,2,4,0,3,13,0
"Quirk, Randolph",0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,2,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,1,0,9,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Rancière, Jacques",2,6,3,2,0,0,2,0,2,0,6,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2,1,0,4,5,0,0,2,0,0,0,0,2,1,1,4,4,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,2,1,0,0,2,3,0,1,0,0,1,0,2,0,2,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,1,1,0,1,0,1,7
"Rich, Adrienne",2,1,0,0,1,1,3,2,0,0,2,1,4,0,1,0,0,0,11,3,0,0,0,0,0,0,0,1,3,2,3,0,4,2,0,0,1,3,2,2,6,7,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,7,6,0,0,1,1,1,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,3,0,3,0,10,10,1,0,2,1,1,1,4,0,1,2
"Richards, Jack C.",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,33,0,0,7,0,0,16,0,0,0,0,0,0,2,2,1,3,1,0,2,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,2,1,1,0,0,1,0,0,1,2,0,0,0,0,2,0,3,0,0,0,2,5,0,0,0,0,1,0,0,0,1,0,0,2,0,0
"Said, Edward W.",3,2,4,5,0,7,8,6,6,1,8,53,13,2,0,0,6,1,12,1,3,8,4,1,26,3,1,7,12,21,3,0,32,3,8,19,3,32,3,2,33,11,4,1,10,10,2,2,1,17,4,2,4,4,27,8,18,2,3,1,3,0,9,10,1,5,16,0,5,8,8,0,2,3,4,6,5,1,1,1,0,2,3,2,0,1,7,1,2,41,1,2,3,3,16,0,6,1,35,10
"Schmitt, Carl",0,10,4,1,0,0,0,0,0,1,8,1,1,0,0,0,0,7,0,0,5,1,0,6,0,0,0,2,0,6,1,3,0,1,1,2,0,0,0,0,4,6,1,0,1,2,1,0,2,0,3,0,0,0,3,2,1,0,4,0,1,4,1,5,1,1,0,0,0,1,2,1,0,1,1,0,0,1,1,0,0,1,0,5,1,0,4,1,0,1,1,1,2,0,0,0,0,2,3,6
"Shakespeare, William",1,6,0,9,0,3,11,3,2,2,7,3,34,2,0,6,7,3,7,0,0,2,6,0,1,1,0,1,7,19,0,0,30,1,19,5,1,4,3,7,22,20,26,0,50,2,0,3,0,2,4,0,7,0,6,1,5,3,5,4,0,2,8,17,0,3,5,0,6,1,8,0,3,6,3,0,2,0,0,1,0,0,3,0,7,4,0,6,4,4,0,1,5,0,5,0,2,3,12,13
"Shaw, George Bernard",0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,1,0,2,2,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,2,3,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,0,2,0,1,1,0,1,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,1,2,0,0,0,0,0,2,0
"Showalter, Elaine",2,0,1,1,1,2,1,2,0,0,2,0,4,3,4,1,3,1,12,2,0,0,0,2,0,1,0,0,7,2,3,0,5,6,4,3,0,1,1,2,24,6,0,0,1,1,0,3,3,0,1,0,3,1,1,0,2,1,0,0,0,0,5,10,1,0,2,3,1,0,1,0,0,0,2,1,1,0,0,1,0,0,10,0,2,0,4,0,0,8,0,0,0,1,4,0,10,2,1,5
"Spivak, Gayatri Chakravorty",3,4,3,2,0,2,7,4,1,0,11,34,8,2,4,1,4,0,15,5,0,16,4,0,5,5,0,4,9,19,1,0,22,1,3,3,1,23,2,2,18,8,1,0,1,6,2,2,1,6,2,1,1,0,13,1,8,2,0,1,2,0,7,5,1,1,0,3,6,2,7,0,0,0,6,9,5,0,0,0,0,3,10,0,41,1,4,0,8,0,1,1,0,0,6,0,4,1,9,5
"Steinbeck, John",1,2,3,1,0,0,1,1,0,0,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,4,0,1,3,0,1,0,0,0,1,0,0,1,3,0,0,1,0,1,3,3,0,0,1,0,1,0,2,0,1,0,0,2,0,0,1,0,1,2,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
"Twain, Mark",0,1,0,0,0,0,0,1,1,0,0,2,4,0,0,2,0,0,2,0,3,0,0,0,1,1,2,1,1,1,1,0,0,0,6,0,3,1,2,0,1,2,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,2,0,0,0,1,1,1,3,2,0,1,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,2
"Vendler, Helen",1,0,0,0,0,0,1,0,0,0,0,2,28,0,0,4,1,0,0,0,0,0,3,0,0,5,0,0,2,4,3,0,1,0,12,18,1,0,0,0,1,1,3,0,0,0,0,0,0,14,0,0,0,1,0,12,1,1,0,7,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,3,2,5,2,0,0,0,0,0,0,0,0,5,2,39,0
"Whitman, Walt",2,1,0,0,0,0,4,0,1,0,3,1,4,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,2,0,0,0,2,4,1,9,1,1,0,2,0,3,0,2,0,0,2,2,0,0,0,0,1,3,0,1,0,2,0,1,0,2,0,0,7,0,0,1,1,2,0,2,2,2,2,0,0,2,3,0,1,1,0,3,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1
"Williams, Raymond",4,2,2,4,0,4,17,5,2,3,14,8,9,8,0,0,3,0,1,1,0,1,3,0,5,4,0,1,14,10,14,0,41,3,11,1,3,2,1,1,19,12,9,0,2,8,0,7,0,3,9,0,2,2,20,3,11,2,5,2,1,0,1,6,1,33,33,1,1,19,17,0,0,1,5,1,3,0,0,2,0,1,1,1,16,0,5,0,4,6,1,0,0,1,0,0,8,12,7,9
"Williams, William Carlos",0,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Woolf, Virginia",4,3,3,1,2,7,13,7,2,1,5,3,12,1,0,1,1,0,5,3,0,3,4,0,5,0,0,4,11,8,3,0,6,3,13,12,2,3,2,2,10,2,3,0,0,0,1,2,0,0,2,2,0,3,3,8,10,0,3,2,4,0,5,6,0,12,10,2,5,6,3,0,0,2,1,2,4,0,3,0,0,1,4,0,6,0,2,0,10,4,1,1,5,1,8,0,0,4,12,3
"Wordsworth, William",4,1,2,2,1,1,8,3,0,0,6,2,18,4,0,5,0,0,2,5,2,0,33,0,0,11,0,2,2,15,3,1,5,5,8,1,4,1,1,2,10,8,4,0,2,1,0,1,0,3,3,0,0,0,1,0,0,0,9,14,0,0,1,5,1,1,2,0,0,0,4,0,0,12,0,2,2,1,0,3,3,0,0,2,1,2,3,0,2,1,0,0,2,1,12,0,4,0,7,4
"Yeats, William Butler",1,1,0,4,0,0,2,2,0,7,4,11,59,0,0,11,4,0,2,1,1,0,3,0,1,9,0,0,4,4,0,0,17,2,41,113,0,5,2,0,6,5,8,0,0,0,0,1,1,33,3,1,0,2,2,89,14,1,1,6,11,1,1,3,2,10,6,0,0,1,1,0,0,1,3,2,10,0,0,13,0,1,1,0,35,3,12,2,1,9,0,0,39,0,7,1,12,7,0,3
"Žižek, Slavoj",8,33,11,4,1,2,6,5,13,2,27,17,16,1,1,0,8,0,21,15,4,2,3,0,8,8,9,1,39,48,3,0,21,4,7,3,3,11,6,52,22,87,0,0,4,7,1,2,1,0,7,0,2,8,22,0,11,0,15,3,1,1,14,112,0,10,2,1,9,9,15,0,10,1,6,3,8,3,3,0,0,7,2,0,10,6,13,0,5,5,1,2,0,1,9,0,3,4,3,0
